Number,Description,L,a,b
3808,Turquoise Ult Vy Dk,105,113,119
928,Gray Green Vy Lt,229,126,127
927,Gray Green Light,206,123,126
926,Gray Green Med,177,120,125
3768,Gray Green Dark,131,119,125
924,Gray Green Vy Dark,110,121,126
3849,Teal Green Light,171,96,127
3848,Teal Green Med,145,108,122
3847,Teal Green Dark,122,103,125
964,Sea Green Light,219,108,127
959,Sea Green Med,188,92,128
958,Sea Green Dark,172,90,129
3812,Sea Green Vy Dk,135,99,124
3851,Green Bright Lt,170,93,128
943,Green Bright Md,142,98,128
3850,Green Bright Dk,128,101,128
993,Aquamarine Vy Lt,189,110,129
992,Aquamarine Lt,170,104,129
3814,Aquamarine,137,105,130
991,Aquamarine Dk,122,107,130
966,Jade Ultra Vy Lt,213,114,136
564,Jade Very Light,202,110,139
563,Jade Light,187,104,143
562,Jade Medium,146,96,145
505,Jade Green,126,95,139
3817,Celadon Green Lt,192,109,136
3816,Celadon Green,160,98,142
163,Celadon Green Md,128,102,141
3815,Celadon Green Dk,117,105,139
561,Celadon Green VD,102,99,143
504,Blue Green Vy Lt,220,116,134
3813,Blue Green Lt,209,112,136
503,Blue Green Med,170,107,135
502,Blue Green,142,103,139
501,Blue Green Dark,109,103,139
500,Blue Green Vy Dk,72,101,137
955,Nile Green Light,207,103,143
954,Nile Green,182,103,144
913,Nile Green Med,165,97,149
912,Emerald Green Lt,147,82,145
911,Emerald Green Med,135,86,142
910,Emerald Green Dark,119,90,142
909,Emerald Green Vy Dk,105,93,142
3818,Emerald Grn Ult V Dk,85,98,140
369,Pistachio Green Vy Lt,233,115,142
368,Pistachio Green Lt,193,111,146
320,Pistachio Green Med,136,108,149
367,Pistachio Green Dk,123,111,147
319,Pistachio Grn Vy Dk,90,96,150
890,Pistachio Grn Ult V D,69,102,146
164,Forest Green Lt,215,117,142
989,"Forest Green ",166,110,151
988,Forest Green Med,140,110,151
987,Forest Green Dk,114,110,152
986,Forest Green Vy Dk,83,114,146
772,Yellow Green Vy Lt,235,121,139
3348,Yellow Green Lt,216,117,146
3347,Yellow Green Med,146,106,153
3346,Hunter Green,104,103,151
3345,Hunter Green Dk,84,94,160
895,Hunter Green Vy Dk,78,95,165
704,Chartreuse Bright,197,91,195
703,Chartreuse,173,91,177
702,Kelly Green,156,78,179
701,Green Light,135,84,173
700,Green Bright,107,82,167
699,Green,94,86,163
907,Parrot Green Lt,222,99,186
906,Parrot Green Md,172,92,184
905,Parrot Green Dk,135,98,174
904,Parrot Green V Dk,118,101,169
472,Avocado Grn U Lt,225,112,164
471,Avocado Grn V Lt,190,111,161
470,Avocado Grn Lt,170,106,172
469,Avocado Green,133,110,164
937,Avocado Green Md,115,112,160
936,Avocado Grn V Dk,90,115,155
935,Avocado Green Dk,79,116,152
934,Avocado Grn Black,57,119,146
523,Fern Green Lt,181,121,141
3053,Green Gray,168,119,145
3052,Green Gray Md,150,117,149
3051,Green Gray Dk,107,120,144
524,Fern Green Vy Lt,207,119,143
522,Fern Green,163,119,144
520,Fern Green Dark,114,120,144
3364,Pine Green,152,111,155
3363,Pine Green Md,133,114,150
3362,Pine Green Dk,110,116,147
165,Moss Green Vy Lt,240,114,166
3819,Moss Green Lt,228,108,188
166,Moss Green Md Lt,199,108,192
581,Moss Green,175,110,185
580,Moss Green Dk,144,114,174
734,Olive Green Lt,196,120,166
733,Olive Green Md,183,118,181
732,Olive Green,146,120,174
731,Olive Green Dk,146,120,173
730,Olive Green V Dk,130,121,169
3013,Khaki Green Lt,189,119,156
3012,Khaki Green Md,171,117,166
3011,Khaki Green Dk,144,120,155
372,Mustard Lt,192,128,157
371,Mustard,176,130,159
370,Mustard Medium,168,130,161
834,Golden Olive Vy Lt,199,130,164
833,Golden Olive Lt,182,130,164
832,Golden Olive,168,132,171
831,Golden Olive Md,155,131,162
830,Golden Olive Dk,131,130,156
829,Golden Olive Vy Dk,118,130,154
613,Drab Brown V Lt,205,132,144
612,Drab Brown Lt,168,136,151
611,Drab Brown,133,136,150
610,Drab Brown Dk,109,135,146
3047,Yellow Beige Lt,221,130,140
3046,Yellow Beige Md,199,133,149
3045,Yellow Beige Dk,165,136,157
167,Yellow Beige V Dk,141,139,162
746,Off White,252,126,135
677,Old Gold Vy Lt,238,126,145
422,Hazelnut Brown Lt,174,138,152
3828,Hazelnut Brown,156,139,157
420,Hazelnut Brown Dk,131,142,161
869,Hazelnut Brown V Dk,109,139,155
728,Topaz,194,137,173
783,Topaz Medium,165,142,190
782,Topaz Dark,139,142,181
781,Topaz Very Dark,129,142,177
780,Topaz Ultra Vy Dk,117,142,174
676,Old Gold Lt,213,128,158
729,Old Gold Medium,179,133,185
680,Old Gold Dark,157,136,192
3829,Old Gold Vy Dark,144,133,189
3822,Straw Light,226,128,165
3821,Straw,215,130,177
3820,Straw Dark,194,133,177
3852,Straw Very Dark,172,136,185
445,Lemon Light,247,114,182
307,Lemon,236,116,201
973,Canary Bright,230,120,217
444,Lemon Dark,221,127,215
3078,Golden Yellow Vy Lt,248,122,150
727,Topaz Vy Lt,242,123,162
726,Topaz Light,222,127,195
725,Topaz Med Lt,213,135,199
972,Canary Deep,201,144,207
745,Yellow Pale Light,237,127,160
744,Yellow Pale,235,125,172
743,Yellow Med,221,132,179
742,Tangerine Light,208,141,188
741,Tangerine Med,190,153,198
740,Tangerine,177,165,203
970,Pumpkin Light,174,162,199
971,Pumpkin,167,168,200
947,Burnt Orange,170,175,176
946,Burnt Orange Med,150,177,194
900,Burnt Orange Dark,134,173,189
967,Apricot Very Light,232,138,137
3824,Apricot Light,220,144,140
3341,Apricot,197,155,150
3340,Apricot Med,175,173,160
608,Burnt Orange Bright,155,187,182
606,Orange?Red Bright,139,200,194
951,Tawny Light,234,135,141
3856,Mahogany Ult Vy Lt,223,139,149
722,Orange Spice Light,183,160,164
721,Orange Spice Med,163,171,178
720,Orange Spice Dark,144,179,186
3825,Pumpkin Pale,208,146,157
922,Copper Light,154,166,188
921,Copper,135,164,183
920,Copper Med,117,160,178
919,Red?Copper,107,165,175
918,Red?Copper Dark,82,160,168
3770,Tawny Vy Light,243,132,135
945,Tawny,224,137,146
