Number,Description,L,a,b,Red,Green,Blue
920,,83,163,165,135,49,19
921,,108,161,168,161,74,33
922,,135,159,168,190,103,58
924,,62,117,123,31,63,66
926,,142,121,128,121,137,133
927,,176,122,131,159,171,163
928,,209,125,131,200,205,198
930,,71,121,118,42,69,81
931,,127,122,114,91,122,142
932,,166,123,118,139,161,175
934,,38,124,139,39,39,22
935,,54,123,143,51,52,28
936,,69,121,151,66,66,28
937,,88,117,164,81,85,19
938,,30,140,143,51,24,6
939,,10,132,118,11,12,28
943,,132,87,141,18,140,100
945,,206,136,146,227,194,167
946,,121,173,177,193,75,30
947,,130,176,183,207,80,22
948,,219,134,141,237,210,191
950,,202,136,143,221,190,168
951,,219,134,144,238,210,185
954,,192,106,148,157,196,147
955,,215,111,145,190,218,177
956,,142,179,128,211,93,134
957,,183,161,127,233,153,178
958,,166,100,134,102,171,146
959,,178,102,134,117,183,159
961,,137,167,130,191,100,127
962,,157,158,129,199,128,147
963,,218,143,131,244,203,208
964,,208,111,130,168,212,199
966,,189,115,142,167,188,156
967,,218,143,143,252,202,185
970,,153,171,189,231,110,32
972,,184,151,204,245,158,0
973,,208,134,211,250,195,0
975,,66,151,161,101,45,8
976,,134,152,175,181,108,42
977,,169,147,171,214,146,84
986,,63,107,152,34,66,20
987,,93,111,153,72,92,44
988,,128,112,160,110,126,64
989,,145,112,159,127,143,80
991,,92,96,136,0,97,71
992,,150,103,137,96,153,125
993,,174,107,136,129,177,151
995,,124,119,92,0,123,175
996,,167,109,100,58,171,209
B5200,,255,128,128,255,255,255
Blanc,,250,127,130,249,249,245
Ecru,,232,129,140,240,227,205
